month,collateral_btc,debt_usd,ltv,holdings,btc_usd,nav_btc,min_health_factor,min_hf_account,liq_btc_price_est,btc_debt_btc,deployed_usd,debt_by_venue,reconstructed_net_btc,residual_vs_nav_btc,month_min_btc_close,month_min_date,hf_at_month_low_est
2025-09,150.15,10217206,59.67,BTC-side: ITB:aEtheBTC 150.2; offchain:Corn BTCN+LBTC (OFT 2-3 Jun -> 4-20 Nov) 150.0; eBTC 78.8; tacBTC 39.0; WBTC 33.3; LBTC 18.0; cbBTC 3.5 | USD-side: ITB:eRLUSD-1 $10.25M,114041,474.58,1.205,itb1_eBTC_aave_RLUSD,94622,0.0,10245933,ITB aave:RLUSD $10.22M,473.46,1.12,108224,2025-09-01,1.144
2025-10,150.23,8710222,52.92,BTC-side: ITB:aEtheBTC 150.2; offchain:Corn BTCN+LBTC (OFT 2-3 Jun -> 4-20 Nov) 150.0; tacBTC 39.0; WBTC 37.8; LBTC 12.1; cbBTC 3.8; eBTC 3.3 | USD-side: ITB:eRLUSD-1 $8.71M; ITB:RLUSD $0.05M,109561,398.34,1.36,itb1_eBTC_aave_RLUSD,80549,0.0,8765268,ITB aave:RLUSD $8.71M,397.22,1.12,106467,2025-10-17,1.322
2025-11,135.3,6756189,55.24,"BTC-side: ITB:eBTC 150.3; ITB:spLBTC 135.3; offchain:tacBTC shares in tacBTC withdraw queue (req 16 Nov, solved 10-17 Dec) 39.0; WBTC 20.8; LBTC 13.4; eBTC 6.9; cbBTC 4.2; Scroll-vault:eBTC 2.7 | USD-side: ITB:ePYUSD-6 $6.76M; RLUSD $0.07M",90392,373.09,1.358,itb3_LBTC_spark_PYUSD,66545,0.0,6851597,ITB spark:PYUSD $6.76M,374.12,-1.03,84669,2025-11-23,1.272
2025-12,275.66,13511812,56.01,BTC-side: ITB:aEtheBTC 140.3; ITB:spLBTC 135.3; LBTC 39.9; WBTC 25.3; cbBTC 21.5; eBTC 19.3; Scroll-vault:eBTC 5.7 | USD-side: ITB:ePYUSD-6 $6.79M; ITB:eRLUSD-7 $6.72M,87515,387.82,1.306,itb3_LBTC_spark_PYUSD,67003,0.0,13528995,ITB spark:PYUSD $6.79M; ITB aave:RLUSD $6.73M,388.06,-0.24,85472,2025-12-19,1.276
2026-01,408.19,17099457,53.28,BTC-side: ITB:aEtheBTC 140.3; ITB:spLBTC 135.4; aEtheBTC 81.5; aEthWBTC 51.0; eBTC 4.9; Scroll-vault:eBTC 4.7; cbBTC 2.7 | USD-side: ITB:ePYUSD-6 $6.06M; ITB:eRLUSD-7 $6.06M; wstUSR $4.01M; stcUSD $1.00M,78628,421.8,1.315,itb2_eBTC_aave_RLUSD,59814,0.0,17127644,ITB spark:PYUSD $6.05M; ITB aave:RLUSD $6.04M; aave:USDT $5.01M,422.41,-0.61,78628,2026-01-end,1.315
2026-02,408.31,13789469,50.41,BTC-side: ITB:aEtheBTC 140.4; ITB:spLBTC 135.4; aEtheBTC 81.5; aEthWBTC 51.0; WBTC 13.2; Scroll-vault:eBTC 12.4; cbBTC 7.1; eBTC 3.2 | USD-side: ITB:ePYUSD-6 $4.92M; ITB:eRLUSD-7 $4.86M; stcUSD $4.01M,66995,446.34,1.381,itb3_LBTC_spark_PYUSD,48520,0.0,13838110,ITB spark:PYUSD $4.92M; ITB aave:RLUSD $4.85M; aave:USDT $4.02M; aave:USDC $0.00M,447.34,-1.0,62745,2026-02-05,1.293
2026-03,233.4,8588658,53.93,BTC-side: ITB:eBTC 140.5; aEtheBTC 107.5; ITB:spLBTC 67.7; ITB:LBTC 67.7; aEthWBTC 51.0; eBTC 25.6; aEthcbBTC 7.2; LBTC 2.2 | USD-side: stcUSD $6.12M; ITB:ePYUSD-6 $2.47M,68231,469.68,1.369,aave(vault),49825,0.0,8674334,aave:USDT $4.03M; ITB spark:PYUSD $2.47M; aave:USDC $2.09M,470.8,-1.12,65734,2026-03-02,1.319
2026-04,7.15,3326,0.61,BTC-side: eBTC 118.9; LBTC 58.2; WBTC 25.5; aEthcbBTC 7.2; cbBTC 2.4; OP-vault:WBTC 1.0 | USD-side: ,76287,214.58,128.148,aave(vault),595,0.0,94389,aave:USDT $0.00M,215.07,-0.49,66892,2026-04-03,112.366
2026-05,174.19,6933785,54.11,BTC-side: morpho:LBTC 174.2; eBTC 28.5; OP-vault:eBTC 5.1; cbBTC 2.8 | USD-side: senPYUSDmain $5.00M; stcUSD $1.98M,73570,211.97,1.589,morpho LBTC/PYUSD (est.),46286,0,6985397,morpho:PYUSD $6.93M,212.34,-0.37,73383,2026-05-29,1.585
2026-06,174.24,7002561,68.63,BTC-side: morpho:LBTC 174.2; eBTC 10.5; OP-vault:eBTC 5.9 | USD-side: senPYUSDPRIMEv2 $4.56M; stcUSD $2.44M,58558,191.69,1.253,morpho LBTC/PYUSD (est.),46731,0,7009286,morpho:PYUSD $7.00M,191.89,-0.2,58558,2026-06-end,1.253
2026-07,191.97,8525705,70.71,BTC-side: morpho:LBTC 192.0; cbBTC 2.7; OP-vault:eBTC 1.6; OP-vault:WBTC 1.0 | USD-side: senPYUSDPRIMEv2 $6.78M; OP:liquidRWA (1.75M USDC via CCTP 21 Jul; est. value) $1.75M,62810,197.92,1.216,morpho LBTC/PYUSD (est.),51640,0,8533980,morpho:PYUSD $8.53M,198.17,-0.25,58558,2026-07-01,1.134
2026-08,195.5,7668563,49.94,BTC-side: spLBTC 165.7; spcbBTC 29.8; eBTC 12.2; OP-vault:eBTC 4.8; OP-vault:WBTC 1.0 | USD-side: senPYUSDmain $5.90M; stcUSD $1.76M,78553,213.68,1.517,spark(vault),51780,0,7675159,spark:PYUSD $7.67M,213.79,-0.11,62762,2026-08-02,1.212
2026-09-20,207.88,10299722,61.04,BTC-side: spWBTC 153.1; spcbBTC 54.8; eBTC 13.3; OP-vault:eBTC 7.5; OP-vault:WBTC 1.8 | USD-side: stcUSD $6.14M; senPYUSDmain $4.15M,81169,231.56,1.283,spark(vault),63258,0,10303500,spark:PYUSD $5.93M; spark:USDC $4.37M,231.61,-0.05,75590,2026-09-16,1.195
