venue,chain,address,kind,btc_collateral,collateral_usd,debt_usd,borrowed,identified_as,fits_definition
Morpho Blue cbBTC/USDT,Ethereum,0x1778767436111ec0AdB10F9BA4f51A329D0e7770,EOA,126.1009,10917046,6391287,USDT,EOA,N (EOA)
aave-eth-core,1,0x6FCfB789a593762557177Fe9548E44d166F91eD4,EOA,79.4196,16219357,6331014,USDT+GHO,EOA,N (EOA)
Morpho Blue WBTC/USDC,Ethereum,0xc99882e7eFB11e4258dFEe59954226e53Fef4e68,EOA,137.9219,11940070,6309187,USDC,EOA,N (EOA)
aave-eth-core,1,0xe73fcBcF1450395BdaE5eAeA4201F17BDCdb5929,EOA,156.9969,13585901,6292663,USDC+USDT,EOA,N (EOA)
aave-eth-core,1,0x43519041B20605093bFE5f922963e68f59E8dEd5,EOA,150.4092,20923200,6253764,USDT,EOA,N (EOA)
Morpho Blue WBTC/USDC,Ethereum,0x8343c61692aB867A34BC17359c4f4B7e57744Faf,EOA,134.0425,11604223,6241782,USDC,EOA,N (EOA)
aave-eth-core,1,0xF151Ed2CaedbDa83C17Ae39D6990D92909fcF529,contract,209.6205,22290562,6229329,USDT,Instadapp DSA (individual account),N
aave-eth-core,1,0x9dc8F41A45BFA500d29eBd7b3842c689973Da175,contract,174.5906,15115229,6189964,USDT,Unverified proxy (FBTC collateral; USDT/USDe sent to EOA 0x68A2...9b70); unidentified,?
Morpho Blue cbBTC/USDC,Ethereum,0x34A8B0660eF835D9d6CfC5770e15e3FaC75049BC,EOA,119.4683,10342832,6173554,USDC,EOA,N (EOA)
aave-eth-core,1,0x8Fb388696010edc0c5D574b2F25b9629724aCfE8,EOA,245.5143,12537246,6090319,USDT,EOA,N (EOA)
aave-eth-core,1,0x7a45d0DC2699A8d57c69B196715c1bBf3302952C,contract,160.0878,15437397,6036691,USDC,Safe 1/1 multisig (no vault or share-token logic; self-directed position),N
aave-eth-core,1,0xC4158b301cf86846fd4F35531597ff098c3222D8,EOA,89.9793,13918972,5871426,USDC+USDT,EOA,N (EOA)
aave-eth-core (deep pages),1,0x0514F2f3E0277c47117e3f33d9390EfB0aCfbdfe,EOA,3.0,10165750,5830267,total debt (all assets),EOA,N (EOA)
Morpho Blue cbBTC/USDT,Ethereum,0x933aDeDd85824dA75ec8a334a7907e69e7c02833,EOA,126.0002,10908324,5803198,USDT,"Midas mHyperBTC strategy wallet (MPC EOA, per Midas transparency API)",Y
aave-eth-core,1,0x1Ad2f4E2F270C9a66fDF298dd81fFE301Cd95927,EOA,182.198,15766944,5748204,USDC,EOA,N (EOA)
Morpho Blue WBTC/USDC,Ethereum,0xac79c0203836D0683B5545D44fd0E37489B66683,contract,193.2104,16726462,5745908,USDC,Summer.fi DPM proxy (individual account),N
aave-eth-core,1,0x3b6b34ce7Eda265E78EfD146C0671bef0787617A,EOA,94.7494,9581463,5649308,USDT,EOA,N (EOA)
Morpho Blue cbBTC/EURCV,Ethereum,0x28355886A65848488Cf0A3646fca395DB0A762B1,EOA,105.01,9091121,5631000,EURCV,EOA,N (EOA)
Compound v3 cUSDTv3 (cbBTC),Ethereum,0xd3d11d778970e562bbe5105e5e7eff9fdd60bce3,contract,223.34,0,5520000,USDT,Safe 3/5 multisig (no vault or share-token logic; self-directed position),N
aave-eth-core,1,0x7Bd46eB9248F93994aB1De5B7d06724D17EdaEc4,contract,50.9497,11865135,5490584,USDC+USDT+GHO,Ambire smart account (individual),N
aave-eth-core,1,0x7De07Bb8A43C1953a019906CF2c8287Dae478be9,EOA,152.7251,13216233,5439104,USDT,EOA,N (EOA)
aave-eth-core,1,0xCd9d098594b78EE61E2F6921461AC17f16B28827,EOA,101.4566,8801419,5426545,USDT,EOA,N (EOA)
aave-eth-core,1,0x7dc5aa56b73105b1E22fB6936C21b13d2f882F46,EIP7702-EOA(delegate 0x63c0c19a282a1b52b07dd5a65b58948a07dae32b),156.3634,14550834,5343287,DAI,EIP-7702 delegated EOA,N (EOA)
aave-eth-core,1,0xcDe24A1923d3657B808D66B9617b4Dd0C0D6c0c2,EOA,117.9872,10210209,5283500,USDT,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Ethereum,0xeB9b0A7844ED7Be427Fd3d7d23765b1901ee7c20,EOA,92.7461,8029387,5217911,USDC,EOA,N (EOA)
Morpho Blue kBTC/RLUSD,Ethereum,0xb7210A359cd2034126b8b2C8b95E748f04fffa38,EOA,100.0003,8667137,5205281,RLUSD,EOA,N (EOA)
Morpho Blue WBTC/USDT,Ethereum,0x5EE1E2e3540eFCE54Fc477d6648537e07080f884,contract,90.01,7792278,5193148,USDT,Kraken Bitcoin Vault - LoanManager (WBTC/USDT),Y
spark-eth,1,0xAC860a0B1C178303a7f085F3842A157e91a241b1,EOA,239.9797,33527347,5183405,USDS,EOA,N (EOA)
Morpho Blue WBTC/USDC,Ethereum,0x86D888C3fA8A7F67452eF2Eccc1C5EE9751Ec8d6,EOA,196.0703,16974054,5163605,USDC,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x74459EA7df673CFd90afbe39F635AcE08Ccb97C4,contract,193.2418,16729691,5162970,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0x965CC423E416827eFc108E64103f7eA727C5A1CE,EOA,120.095,10397331,5154316,USDC,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0xD3d7900a30f4016bC9945f7F2bf3A028FE9307Fc,contract,117.7575,10194717,5140946,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue cirBTC/USDC,Arc,0x311853eB5310a4f61215Ba48A520f95BB35348c8,EOA,96.7516,8391861,5102241,USDC,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x6aBB9Aeb93e9aF04c8D9FD2b84BF6ca8EDC3eAf2,contract,168.2219,14563617,5078461,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue cbBTC/USDC,Base,0x646990a0056d596Df1FBC4cb43caa526Ec0f6e8B,contract,146.5533,12687688,5056908,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue cbBTC/USDC,Base,0xBDDFF5B1CE9284b6f022c66f961F249bE9347D0C,contract,100.2943,8682861,5050639,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue cbBTC/USDC,Base,0x8622f5eD1de0E74b5bE067f6BB616a53A3B62FC4,contract,98.9291,8564671,5013217,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue cbBTC/USDC,Base,0xA89Ce73b8493036b2FFBee70742c393CB5Beda74,contract,130.0587,11259684,5007459,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0x85Cb649808E0C701715C9d2F67266fdCFA6C0D6f,EOA,118.4111,41884575,4996442,USDT,EOA,N (EOA)
Compound v3 cUSDCv3 (WBTC),Ethereum,0xf151ed2caedbda83c17ae39d6990d92909fcf529,contract,42.32,0,4970000,USDC,Instadapp DSA (individual account),N
Morpho Blue cbBTC/USDC,Ethereum,0x0932b946915C09AE02B6C41Ec8ead57c11168219,EOA,92.0872,7972344,4969868,USDC,EOA,N (EOA)
spark-eth,1,0x933aDeDd85824dA75ec8a334a7907e69e7c02833,EOA,113.4164,9818819,4956767,USDS,"Midas mHyperBTC strategy wallet (MPC EOA, per Midas transparency API)",Y
spark-eth,1,0xBB87CcF17709761595F368089B754DbB545A324b,EOA,85.005,16068384,4906943,DAI,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x8E982e26CB163AA2DFF8E26F72a10380a416cf1c,contract,104.9363,9084736,4800561,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0x2e2B6070BEC9Be9F50887CfE306Ac6cA93002Fab,EOA,73.6497,16283885,4737104,USDC+USDT,EOA,N (EOA)
Compound v3 cUSDCv3 (WBTC),Ethereum,0xd66a63b4d938cf19ae7006109a37f3bb357dbe96,EOA,54.89,0,4690000,USDC,EOA,N (EOA)
spark-eth,1,0xC5655450D4D738869D003B24b4dED842Cea5AF78,EOA,37.738,12037555,4686032,USDT+USDS,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x0248acF66986c59089367690d266Eaa7c03a95Ff,contract,110.0358,9526227,4675480,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue cbBTC/USDC,Base,0xe8BCeFCAe10c240A82357dbB01815E5425A64083,contract,135.3731,11719773,4665571,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0x9808F3A0921F991f4E7Dcde8DC9BFA52A59c2211,EOA,105.0805,9093418,4575032,USDC,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x0Efa6b2d120b23B3f503D29A9A0Af9038bCc36a2,contract,100.0026,8657613,4530856,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue cirBTC/USDC,Arc,0xaE9746a85F7E08Cbfd08dB00Edf9B6C21f592fEc,EOA,85.01,7373442,4499600,USDC,EOA,N (EOA)
spark-eth,1,0x50Fe5b3092dEC443A0F641cCEf83D6bd7603e6B7,EOA,101.232,8760036,4487011,USDS,EOA,N (EOA)
aave-eth-core,1,0xEbCE5936d8bB62a1EC7350e17ccC559d0394fdDb,EOA,161.0146,14399396,4449647,DAI+USDT,EOA,N (EOA)
aave-eth-core,1,0x7938D7f05F9a8dcE7571E4f2FCfC3f453280A6Cd,EOA,109.692,9493961,4449093,USDT,EOA,N (EOA)
spark-eth,1,0x8EBCB51967B595cd474D4572faEb4Ac8B5d6912b,EOA,104.157,9994163,4399017,USDS,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0xc62f551d27f66a52317A6B1745E51Cb550A50777,contract,141.67,12264922,4378195,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0x03e5637c67B82Af9B204187c5E89C4Bfff5270e3,EOA,91.4175,12715666,4359666,USDC,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x192562b40591f79A5E4875210f1f85694C2027a7,contract,90.208,7809657,4350043,USDC,Coinbase Smart Wallet (retail borrower),N
aave-eth-core,1,0x63265e50ff8E7722eBc40034700e86b0412c900b,EOA,95.3539,8978998,4278348,USDT,EOA,N (EOA)
aave-eth-core,1,0x1A8C730C2AD5FaAB9Fe0d7ee5BfD750e044A111d,contract,132.421,11632211,4251693,USDT,Instadapp DSA (individual account),N
Morpho Blue WBTC/USDC,Ethereum,0xd843412740c6767D3596e5838b6ea1388759fC61,EOA,110.9931,9608807,4237497,USDC,EOA,N (EOA)
aave-eth-core,1,0x0540540E159f1e1F5d9165B84EF3559807771bD8,EOA,95.8082,8290983,4231581,USDT,EOA,N (EOA)
aave-eth-core,1,0x7974B46E7940De2c4d6458C053bdBac0bf111683,EOA,75.7275,8060738,4171305,USDT,EOA,N (EOA)
aave-eth-core,1,0x08C3e74a90D617A332c5790d5C44759d50a1670d,EOA,155.9168,13495982,4164088,USDT,EOA,N (EOA)
spark-eth,1,0xF6123C482f3c5B1BBfc2272A8CD117939d1a6acB,EOA,106.0,9172628,4151221,USDT,EOA,N (EOA)
aave-eth-core (deep pages),1,0x1CDde20fd300C95427819BE44A4fDC8c537361F1,EOA,38.5715,11053480,4136227,total debt (all assets),EOA,N (EOA)
Morpho Blue cbBTC/USDC,Ethereum,0x4a4C63984e57832728Ad2Fa7cFAc844246Cb3dE2,EOA,107.3292,9291904,4100710,USDC,EOA,N (EOA)
Morpho Blue cbBTC/USDC,Base,0x89E9034194605329DFaB0eB7c11877d7817891CB,contract,149.0286,12901977,4075709,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue cbBTC/USDC,Base,0x6Cd75fDbfe53fA40838b5B5C72A6f1afa8217177,contract,78.1808,6768410,4029618,USDC,Coinbase Smart Wallet (retail borrower),N
Morpho Blue WBTC/USDT,Ethereum,0x5dB444d58DC0010a73A8e0407c9F1cE9B1afcB9a,EIP7702-EOA(delegate 0x63c0c19a282a1b52b07dd5a65b58948a07dae32b),71.7493,6211430,3993118,USDT,EIP-7702 delegated EOA,N (EOA)
Morpho Blue kBTC/PYUSD,Ethereum,0x8328446602CB4c3b2b4A25BECa6488E947B6f54a,EIP7702-EOA(delegate 0x0000fb7702036ff9f76044a501ac1aa74cbab16b),76.5928,6638382,3985804,PYUSD,EIP-7702 delegated EOA,N (EOA)
Aave v4 spoke 0x94e7a5dc,Ethereum,0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,EOA,163.095,16929911,3980733,USDG+frxUSD,EOA,N (EOA)
aave-eth-core,1,0x5414ecF2014c202aA938e905B614D40D686aA512,EOA,99.7654,8637199,3959037,DAI,EOA,N (EOA)
spark-eth,1,0xdb9e930f11D56CA3657910c9FC539BC5C8Aaa0c3,EOA,87.5635,7577239,3954209,USDS,EOA,N (EOA)
