month,category_code,delta_usd_net,net_flow_btc,net_flow_usd,price_effect_usd,residual_usd
2026-06,C6,-234472368,-806.13,-53325138,-181147177,-53
2026-06,ALL,-1230096330,1754.48,116058065,-1346154395,0
2026-07,C1,131751356,1648.42,100151902,31599391,64
2026-07,C2,236607969,-689.07,-41865344,278473712,-399
2026-07,C3,-5363222,-496.2,-30147277,24783594,460
2026-07,C4,942550,7.22,438660,503822,67
2026-07,C5,27176916,414.4,25177411,1999430,75
2026-07,C6,8426056,-654.65,-39774112,48200436,-267
2026-07,ALL,399541625,230.12,13981240,385560385,0
2026-08,C1,189343938,764.65,54087204,135256791,-57
2026-08,C2,198461405,-10450.78,-739231635,937692932,108
2026-08,C3,97725189,132.18,9349698,88375817,-326
2026-08,C4,633494211,8037.32,568516532,64977741,-62
2026-08,C5,59293678,619.51,43820786,15472987,-94
2026-08,C6,72181787,-1274.03,-90117989,162299345,431
2026-08,ALL,1250500208,-2171.15,-153575404,1404075612,0
2026-09,C1,45852271,276.91,22119472,23732577,221
2026-09,C2,305899202,2024.1,161684388,144214536,278
2026-09,C3,4667433,-124.75,-9964986,14632750,-332
2026-09,C4,7629432,-167.01,-13340699,20969991,140
2026-09,C5,32558414,359.63,28727116,3831508,-211
2026-09,C6,17865376,-90.36,-7217925,25083398,-97
2026-09,ALL,414472128,2278.52,182007367,232464761,0
