month,product,category_code,tvl_usd,tvl_btc,include_net
2024-11,Aster asBTC,C3,5378032,55.784,1
2024-11,Thetanuts (BTC),C4,4445084,46.107,1
2024-11,Wildcat (BTC),C5,1,0.0,1
2024-12,ether.fi Liquid BTC,C1,94,0.001,1
2024-12,Babylon (BTC staking) - stake attributed to listed LSTs/products,C2,2912265004,31121.922,0
2024-12,"Babylon (BTC staking) - other stakers (Kraken, Binance, OKX, Figment, direct)",C2,2402637561,25675.788,1
2024-12,Lombard LBTC - held inside other listed products,C2,610689825,6526.137,0
2024-12,Lombard LBTC - direct / other holders,C2,881065462,9415.507,1
2024-12,Bedrock uniBTC - held inside other listed products,C2,168382400,1799.419,0
2024-12,Bedrock uniBTC - direct / other holders,C2,222851382,2381.501,1
2024-12,SolvBTC LSTs (SolvBTC.BBN etc.) - held inside other listed products,C2,103029804,1101.028,0
2024-12,SolvBTC LSTs (SolvBTC.BBN etc.) - direct / other holders,C2,880196543,9406.221,1
2024-12,PumpBTC - held inside other listed products,C2,83636063,893.777,0
2024-12,PumpBTC - direct / other holders,C2,505357711,5400.506,1
2024-12,Lorenzo stBTC - held inside other listed products,C2,55699598,595.234,0
2024-12,Lorenzo stBTC - direct / other holders,C2,46051631,492.131,1
2024-12,Chakra,C2,106971129,1143.147,1
2024-12,alloBTC,C2,49318868,527.046,1
2024-12,pSTAKE BTC,C2,31002715,331.311,1
2024-12,LISA BTC LST,C2,326429,3.488,1
2024-12,b14g,C2,1799706,19.233,1
2024-12,exSat Staking BTC,C2,669793124,7157.745,1
2024-12,Symbiotic (BTC vaults),C2,171562104,1833.399,1
2024-12,Mellow restaking (uniBTC),C2,21940558,234.468,1
2024-12,Pell Network,C2,241406327,2579.789,1
2024-12,Kernel (BTC part),C2,81239686,868.168,1
2024-12,CIAN Yield Layer (BTC vaults),C2,146268171,1563.095,1
2024-12,ObeliskBTC,C2,308705736,3298.984,1
2024-12,Solv Basis Trading (SolvBTC.TRADING),C3,2906756,31.063,1
2024-12,BitFi bfBTC (AILayer),C3,202368117,2162.607,1
2024-12,Manta CeDeFi (BTC),C3,25029013,267.473,1
2024-12,Hope (BTC basis collateral),C3,1897015,20.272,1
2024-12,DeSyn Basis Trading (BTC),C3,136,0.001,1
2024-12,Hegic (WBTC pool),C4,2902402,31.017,1
2024-12,Ribbon (WBTC theta vault),C4,2666219,28.493,1
2024-12,Lombard Vaults (LBTCv / BTCe) - held inside other listed products,C6,8014756,85.65,0
2024-12,Lombard Vaults (LBTCv / BTCe) - direct / other holders,C6,50912723,544.079,1
2024-12,Native Credit Pool (BTC part),C5,1949634,20.835,1
2024-12,B2 Buzz Farming,C6,201807915,2156.62,1
2024-12,AILayer farm (AINN),C6,125749428,1343.821,0
2024-12,"Veda (other BTC vaults, excl. Kraken)",C6,812875622,8686.796,1
2024-12,Upshift (BTC vaults),C6,57837762,618.083,1
2024-12,Proxy (PRXY BTC strategies),C6,24537061,262.215,1
2024-12,Convex (BTC LPs),C6,43741529,467.444,1
2024-12,Yearn (BTC vaults),C6,5695173,60.861,1
2024-12,Badger DAO (BTC vaults),C6,17499960,187.013,1
2024-12,Stake DAO (BTC LPs),C6,239279,2.557,1
2024-12,Yield Yak (BTC),C6,7859636,83.992,1
2024-12,Superform (BTC),C6,335024,3.58,1
2024-12,Harvest (BTC),C6,5418626,57.906,1
2024-12,Autofarm (BTC),C6,1604580,17.147,1
2024-12,Belt (BTCB),C6,4308202,46.04,1
2024-12,Tranchess (BTCB),C6,15223366,162.685,1
2024-12,Radpie (BTC),C6,1012521,10.82,1
2024-12,Aura (BTC),C6,591307,6.319,1
2024-12,Reaper (WBTC),C6,1248738,13.345,1
2024-12,Vesper (WBTC),C6,882297,9.429,1
2024-12,Kine (BTC),C6,819376,8.756,1
2024-12,DeltaPrime (BTC),C6,2365497,25.279,1
2024-12,Extra Finance (cbBTC),C6,10279169,109.848,1
2024-12,IPOR Fusion (other BTC vaults),C6,51931,0.555,1
2024-12,DeSyn Liquid Strategy (BTC),C6,761270343,8135.316,1
2024-12,DeSyn Safe (BTC),C6,226604980,2421.614,1
2024-12,Corn Kernels pre-deposit,C6,561900924,6004.755,1
2024-12,Zircuit staking (BTC),C6,3723607,39.792,1
2024-12,Pencils Protocol (SolvBTC),C6,318254,3.401,1
2024-12,CoinWind (BTC),C6,86210024,921.283,1
2024-12,Flamincome (WBTC),C6,90400355,966.063,1
2024-12,Hourglass (eBTC/LBTCv),C6,31040557,331.715,1
2024-12,Aera v2 (BTC),C6,759202,8.113,1
2024-12,Mitosis (BTC),C6,5339107,57.056,1
2024-12,Umami (BTC),C6,6006463,64.188,1
2024-12,Capy (BTC),C6,102844,1.099,1
2024-12,Sommelier (BTC),C6,1086116,11.607,1
2024-12,OpenGDP shared security (LBTC),C2,410253313,4384.172,1
